date,BUDDY,BULBUL,FEUSD,KHYPE,LHYPE,LIQD,PURR,RUB,STHYPE,UBTC,UETH,UFART,UPUMP,USDE,USDHL,USDXL,USDâ‚®0,USOL,WHLP,WHYPE
2025-05-30,,,,,3694.62202,,,,,0.50541,,,,,,,66292.23519,,,7434.09364
2025-05-31,,,,,3694.62202,,,,,0.50541,,,,,,,66292.23519,,,7434.09364
2025-06-01,,,,,3694.62202,,,,,0.50541,,,,,,,66292.23519,,,7434.09364
2025-06-02,,,,,3694.62202,,,,,0.50541,,,,,,,66292.23519,,,7434.09364
2025-06-03,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-04,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-05,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-06,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-07,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-08,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-09,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-10,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-11,,,,,3694.62202,,,,,0.50541,,,,,,,65675.22141,,,7449.09136
2025-06-12,,,,,3983.65118,,,,,0.73004,,,,,,,71068.62988,,,8392.17716
2025-06-13,,,,,2951.63819,,,,,0.59216,,,,,,,44792.15655,,,8283.18755
2025-06-14,,,,,3785.65729,,,,,1.37397,,,,,,,145092.33327,,,8962.58888
2025-06-15,,,,,3850.7656,,,,,1.04372,,,,,,,118491.21476,,,10945.85859
2025-06-16,,,,,3307.26438,,,,,1.0603,,,,,,,144417.83998,,,10289.09794
2025-06-17,,,,,3452.76288,,,,,0.93293,,,,,,,135764.61336,,,10324.25789
2025-06-18,,,,,3262.10547,,,,,0.81689,,,,,,,117932.42675,,,11830.06045
2025-06-19,,,,,3528.99199,,,,,0.90211,,,,,,,106989.75665,,,11600.30143
2025-06-20,,,,,3372.62224,,,,,0.61383,,,,,,,77064.12165,,,14064.49175
2025-06-21,,,,,2956.23708,,,,,0.54045,,,,,,,39907.46874,,,15494.49862
2025-06-22,,,,,3079.6612,,,,,0.72594,,,,,,,55013.46575,,,14415.49642
2025-06-23,,,,,3359.93111,,,,,0.97862,,,,,,,115045.34082,,,12276.11329
2025-06-24,,,,,3053.49663,,,6e-05,,0.82159,,,,,30936.89359,,87129.27635,,,12078.70253
2025-06-25,,,,,2593.38119,,,0.00031,,0.80444,,,,,28175.85641,,99457.73743,,,12496.16517
2025-06-26,,,,,2428.00952,,,0.00144,,0.70177,,,,,46405.49302,,89534.52852,,,13787.19802
2025-06-27,,,,,2600.95556,,,0.00162,,0.62707,,,,,59298.0637,,119821.26626,,,14703.54154
2025-06-28,,,,,2455.9891,,,0.00156,,0.71042,,,,,158825.81916,,153695.57006,,,18022.20942
2025-06-29,,,,,1970.04339,,,0.0012,,0.68673,,,,,181853.73323,,200086.04281,,,15315.49556
2025-06-30,,,,,5130.76297,,,0.00193,,0.82375,,,,,223779.31412,,254587.74593,,,18535.96914
2025-07-01,,,,,5443.37403,,,0.00081,,0.78922,,,,,243732.70339,,255568.79599,,,20330.33101
2025-07-02,,,,,4744.61588,,,0.00089,,0.67775,,,,,184969.38894,,208724.74668,,,20607.26248
2025-07-03,,,,,5037.57668,,,0.00096,,0.92812,,,,,229178.3624,,354444.9788,,,18293.22095
2025-07-04,,,,,7750.32041,,,0.00345,,1.05897,,,,,352095.81895,,450135.63931,,,26911.34355
2025-07-05,,,,,9660.00673,,,0.00327,,1.10579,,,,,336128.52531,,414907.50101,,,33283.25935
2025-07-06,,,,,10047.67833,,,0.00351,,1.13485,,,,,424991.99034,,527264.11153,,,36637.32645
2025-07-07,,,,,9618.00486,,,0.00366,,1.20636,,,,,530400.85435,,587183.20431,,,36382.58659
2025-07-08,,,,,8527.77285,,,0.00331,,1.13201,,,,,386388.67692,,521434.07816,,,46393.17468
2025-07-09,,,,,10450.93481,,,0.0025,,1.23921,,,,,446328.18538,,618200.3075,,,43681.24055
2025-07-10,,,,,7981.10204,,,0.0071,,1.59376,,,,,566548.02946,,788277.13217,,,32759.82622
2025-07-11,,,,,8971.29307,,,0.00842,,1.92509,,,,,722252.90688,,832544.99997,,,25834.41325
2025-07-12,,,,,4559.45243,,,0.01014,,1.84634,,,,,614821.91974,,724721.78147,,,18940.32263
2025-07-13,,,,,6556.87592,,60059.61117,0.01195,,2.35719,,,,,567634.58668,,674226.85076,,,17154.83455
2025-07-14,,,,,9910.32149,,133352.88904,0.01137,,2.41536,,,,,614730.6473,,651944.97851,,,23463.70341
2025-07-15,,,,,5424.14125,,184618.88341,0.00993,,1.65272,,,,,462344.68671,,581170.45776,,,33204.80851
2025-07-16,,,,,16507.43648,,223622.50564,0.00994,13800.00086,1.90242,29.36354,17850.55045,,,525396.67314,,517299.95284,47.79542,,15073.98478
2025-07-17,,,,1463.22512,12953.78183,,178957.03366,0.01105,9750.18797,1.11561,10.69415,3651.31542,3156905.63745,,378629.98604,,481489.50923,76.78283,,24332.86339
2025-07-18,,,,1305.15378,13009.73799,,158550.85856,0.01125,7056.68729,0.64242,3.0988,6766.98031,3355752.73085,,318490.7486,,403178.65267,63.44063,,30870.69845
2025-07-19,118458.48927,,5347.40305,1411.42096,13020.57047,32739.697,171846.02639,0.01085,6616.16411,0.66326,3.98419,11739.71689,8427307.4116,5083.31175,299631.65228,3900.10068,366690.83009,66.92362,2313.21032,26348.38328
2025-07-20,1201719.76248,,21245.10118,783.64803,13314.96859,3105256.56255,199186.06141,0.01135,20432.78555,0.74465,5.6824,4893.21242,9194136.99546,28311.20935,270520.87243,8576.84869,413529.74013,67.92785,2633.75501,26530.07359
2025-07-21,1200142.33693,,47372.28768,729.97712,13181.49692,2669305.81158,207854.61712,0.00833,20472.19889,1.25543,108.14877,14390.4818,10509716.98982,42625.55469,440809.33232,22722.35828,504939.48686,71.26433,5313.7771,25038.72197
2025-07-22,1746686.76682,356579574.29336,41915.89673,904.26842,2603.6522,3794942.53942,186564.37611,0.00862,588.47015,0.81727,98.74979,4854.43581,12142766.25746,29745.41011,331619.94241,42726.58704,375757.37672,28.56079,2169.04859,38236.31718
2025-07-23,1509729.09588,363271876.16929,63452.84039,156.71569,2388.55396,3482975.64713,174481.22605,0.00823,367.77694,1.49789,109.68809,13318.7625,12425833.71323,56540.88343,409981.45971,60804.44847,521387.97943,30.33357,6063.75131,28324.35678
2025-07-24,1429472.34239,363724887.44738,49467.30137,148.52097,2295.96492,3564252.63787,144844.55848,0.0083,1363.72161,1.17903,108.16963,25640.26948,13074365.93113,36129.43922,342489.22638,21957.66728,384719.49854,38.06982,2675.70992,30978.1446
2025-07-24,1366204.58466,363989116.189,36438.52604,150.80244,2282.49062,2359699.82878,143778.7593,0.0083,1027.76603,0.76149,98.40384,16389.65046,13044334.32149,21256.40727,288057.73735,5811.19442,315024.09569,37.02296,1219.44776,36897.60426
