class,hash,time,token,type,amount,from,to,px
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1751614078034,SPX-USD,Twap,-1000000.000000003,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,1.2220660813078263
PERP,0x34c8394883e98cb3713f0426c103f7000097ceae8a845d347ade4f274c9616cc,1751556906698,kPEPE-USD,Close Long,-240000000,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.009895286790141672
PERP,0xf76b432bd41ff3d5cff00426c103bf00007195db4df2b364b1b0e2fc645b751d,1751556902582,kPEPE-USD,Close Long,-60000000,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.00998890733368333
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1751529772015,kPEPE-USD,Twap,24590200,0xffffffffffffffffffffffffffffffffffffffff,0x89453000afe81a8843ae2d1c5df0f340f8800779,0.010647049570448893
PERP,0x0000000000000000000000000000000000000000000000000000000000000000,1751529732045,SPX-USD,Twap,62895.60000000002,0xffffffffffffffffffffffffffffffffffffffff,0x89453000afe81a8843ae2d1c5df0f340f8800779,1.3082709388901772
TRANSFER,0x8e6551fb8f796dc725300426bb3dfb0165001f3c71b8ccedf344e076a292a05c,1751527885822,USDC,InternalTransfer,1766827.07,SPOT,PERP,1
DUST,00000000000000000000000000000000000000050,1751500800130,VAULT,Spot Dust Conversion,-0.00473428,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.059149
SPOT,0xf1b5af3ba78778f775030426b4b0ff02019d00d1e2e4adf4cde408155dcf66f7,1751495131189,VAULT,Sell,-425.4,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.05920567827926657
SPOT,0xaf43fc3b8d5e0e7b9cef0425f7006202036d003aa82e4a7a05cd6d0ea4891d99,1750529192314,LICKO,Genesis,19449.58408989,0x0000000000000000000000000000000000000000,0x89453000afe81a8843ae2d1c5df0f340f8800779,
TRANSFER,0x15a6e6679a1fe2ec720904256477c1020341004b50349dc4a78dd0ed9083e263,1749779328995,USDC,InternalTransfer,8700496,PERP,SPOT,1
FAILED,0x101c127489faf224a0c404256475590204300088672f5029797ce15b268a50fb,1749779279652,-,VoteEthDepositAction,,0x89453000afe81a8843ae2d1c5df0f340f8800779,Deposit has already been credited.,
DEPOSIT,0x00ea5db68bc76f1c89cc0c88462b91eb97be2f64c8dbb69d7f90818696e54703,1749779279652,USDC,Deposit,8700496,Arbitrum,0x89453000afe81a8843ae2d1c5df0f340f8800779,1
DUST,00000000000000000000000000000000000000051,1738886400068,STAR,Spot Dust Conversion,-0.00336612,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.13391
VALIDATING,0xc14afefa50028dd065ec041d36f13d02035700a814e72270299713832a8e66b7,1738800115127,-,tokenDelegate,,0x89453000afe81a8843ae2d1c5df0f340f8800779,-,
SPOT,0x9f1e76fa6d85de6af433041d36ef4902023a003efb05a9d86719cf1926694c41,1738800077998,STAR,Sell,-6176.15,0x89453000afe81a8843ae2d1c5df0f340f8800779,0xffffffffffffffffffffffffffffffffffffffff,0.13471
SPOT,0xfc2b736e9d4416fc75f0041b8e64dc0201b300dfefa4a54d126e8729f782c552,1736985301272,STAR,Genesis,6176.15336612,0x0000000000000000000000000000000000000000,0x89453000afe81a8843ae2d1c5df0f340f8800779,
TRANSFER,0xc16fcb15f3f2d4de6a38041b645b3901cd0066eb27f0d3d496e620c104b20f3e,1736803546182,LAUNCH,Transfer,1,0x97634ac52d5bf7620aff17be184d87a2e8659104,0x89453000afe81a8843ae2d1c5df0f340f8800779,0.038233
WITHDRAW,0x355c286f5a25a9656b7a405c98260be5f7f55ab5c99fe780ee66ab371bb717d4,1736266900456,USDC,Withdraw,-1127243.17,0x89453000afe81a8843ae2d1c5df0f340f8800779,Arbitrum,1
TRANSFER,0x087f771bc4f20cc02aed041ae441ac0202d000a4c6d95368228ad8d671e74463,1736266645005,USDC,InternalTransfer,1127244.17,SPOT,PERP,1
TRANSFER,0x6e115c2a4d1d8f8ccec30419ddde7a019d00614a9216c0eee3bac9f5f4631ae2,1734970208555,HYPE,Transfer,201664,0xbdc55cafa3f3c06fc53aa22289e4e5354feefad2,0x89453000afe81a8843ae2d1c5df0f340f8800779,41.2485
FAILED,0x7bda5b511f8412cf93c00419dddc4402018e001ba828db62b2f87383e18efdc6,1734970156733,-,spotSend,,0x89453000afe81a8843ae2d1c5df0f340f8800779,Insufficient USDC balance for token transfer gas.,
TRANSFER,0xe9222c3918471d1bed7a0419d8ae5901af004f45f00f8ca7b166a7e8bceb8f60,1734938057313,USDC,InternalTransfer,2999999.84,PERP,SPOT,1
FAILED,0x418a18ba4f34643b13b70419d8ae33010200f017edfe2554f7cf1eaccf33f2a2,1734938053930,-,VoteEthDepositAction,,0x89453000afe81a8843ae2d1c5df0f340f8800779,Deposit has already been credited.,
DEPOSIT,0xf56a5b9e3a1bc4a18c50d86ab7cac319d570021c342098fa681e5e868b376590,1734938053930,USDC,Deposit,2999999.84,Arbitrum,0x89453000afe81a8843ae2d1c5df0f340f8800779,1
SPOT,0x4a951a88878d5a627ae7041960ceb701a200f2a57689e24ceae0471bbf6c05d0,1734356661157,VAULT,Genesis,425.40473428,0x0000000000000000000000000000000000000000,0x89453000afe81a8843ae2d1c5df0f340f8800779,
TRANSFER,0x45490da27d9540bb37d60418f8fe3101ad0083a32d3d3f27b16865f0f5645770,1733924670014,HYPE,Transfer,523698,0x4ca55c55cd46f7cd90a371c8d647f23324a3d394,0x89453000afe81a8843ae2d1c5df0f340f8800779,41.2485
TRANSFER,0xa48d91e3ea1c4400d2270418f8f65a020136000fc91fe29d4749e1065d3768c6,1733924542687,HYPE,Transfer,1,0x4ca55c55cd46f7cd90a371c8d647f23324a3d394,0x89453000afe81a8843ae2d1c5df0f340f8800779,41.2485
TRANSFER,0xf9711d1d17924969a4a50418f8f0e902015d006bc44fc75c9057fbef406fee75,1733924453970,USDC,Transfer,8,0x4ca55c55cd46f7cd90a371c8d647f23324a3d394,0x89453000afe81a8843ae2d1c5df0f340f8800779,1