time,user,type,token,amount,destination,signatureChainId,hyperliquidChain,block,hash,error
1752055247472,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,45495.86,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,656630564,0x9bb9f5f2a152218ab8b804272363240123005387ba53bb15cf8443310bc10124,
1751980069857,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,100000,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,655653340,0xc9f82c96ef4ae4c7149a04271479dc01220016eaad2bd53792655e77234062e7,
1751544048759,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,9075.8552577,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,650017969,0x5c9540130ef4940eefd50426be7cb101af00aa3112d98599e56ecac30b9261af,
1751540448916,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,66866.4147423,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,649970626,0xc4796bbd6e4ffea62bda0426bdc3c20201c70058dfda20abf7b0e6766f4505ca,
1751462029817,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,135900,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,648945328,0x60cde498be0b746d68550426ae1eb001070014d739bdfe1ecf05c6b7253d19e9,
1751410849799,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,3141.06,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,648272454,0xa8c7d7728251748f492a0426a3da4602015a00f4dadccd23f5e833763d4daada,
1751400048767,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,302.12,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,648130503,0x2690095536a0c90542460426a1afc701890008d16ea284cc7cacf947baece788,
1751396450871,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,20699.95,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,648083067,0x5c683d215ca0396304ad0426a0f67b012d00d3adcd64852984bcffb25a86d09c,
1751382048862,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,251.21,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647894214,0x247efc97f42f9de72e9804269e14c601570076d5ca1f6ba8e6ca117583a0e739,
1751367646617,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,1.89,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647706790,0xd7c9b8cda1163d859b3e04269b38a60146001913c565b6800e7b72ce6cf7aa59,
1751349649639,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,815.53,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647472145,0x58db1dc2d5f71b8757d2042697a41102012d00bb4a3738460c9c6474620e8664,
1751338849654,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,11.36,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647330208,0x177582ab43b6bf0776c104269579a0015b004ae10c6a6b1a047e788f27b25368,
1751331649910,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,658.43,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647236390,0x51c5cc767206395212960426940b2601890024b615bd30be14f7a6f2d8af7ff0,
1751328049778,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,463.64075933,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647189760,0x7eb144f6f5c1f901479f0426935500017800647b73c026c1f920fdace4ceef8f,
1751324449843,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,6278.57142857,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647143185,0x55fb68c863a0a93d4ab20426929f110116002f64fccc23172c2e276f02590105,
1751320848780,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,16001.86408045,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647096141,0x6298b43d96f309d959ab042691e74d02039800967f43b3428dcb9e6577825da0,
1751317248702,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,1841.09049261,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,647048722,0xe111b18d8196372166640426912e120128005deb3412325567f7fc48936cab23,
1751310047745,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,31163.0291794,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646953797,0x28a3fe6d61064373cbd504268fbb4502017100713b3dde2fbea8ba9b8dcc8ba1,
1751306448029,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,37670.37955486,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646906128,0xe96a2775fd13690be2b004268f0110011400ee62038d71237b71858d5993faf6,
1751295646917,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,351.1074605,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646765128,0xe3898490ab9d37ec136404268cda4801ed001a214c33aa6153b64e5e23d0df73,
1751288449926,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,860.63663353,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646671707,0xac12046175073eeb67dd04268b6d5b011c00b1453aefe94d22e1df6b9896b698,
1751281248856,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,1339.76525196,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646578383,0x279f766b2f5bfeadca1904268a00cf011f0055a478807cf1a41aca23fffa24bc,
1751274049205,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,8859.84716674,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,646484677,0x39ebaf1c25f8064fa1c404268892c5013c000d6ef43fc1348471f382900a74ab,
1751198447532,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,12691.09235715,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,645505530,0xd537a7391a9a5aea69f7042679a1fa012800cb8af056e2bbca59748d52d1f363,
1751194847498,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,419.13117835,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,645459648,0x34021e4ee6294e8ea257042678eec0019000ed19c22b1bb60113498c22a3fc2f,
1751184047978,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,6014.815,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,645319978,0x52eed425aa508679d001042676cd2a010500c8cad4fb5efd480b2c09a28eeb62,
1751173250903,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,6466.22787143,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,645184137,0xf2b907f5f482a70303eb042674ba89018600e9ae20d03e497f1f3906342f1dab,
1751162450792,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,839.9916,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,645049301,0x2982c3189ff3f2a14433042672abd5020102003874213b013dc6cbf5a54fb365,
1751155250579,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,597.82592774,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644958183,0x4756b0bb830d1da3d65004267147e7014800ae81f8f57c11d0f2266218fc2845,
1751144450853,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,492.91142948,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644822469,0x47aa0c70a3e7fb4c175c04266f35c5010f007ed7d0d3f87c01f50e0c149fca77,
1751140846679,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,981.392,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644776736,0x56d83f342fd85f3b92a004266e8320015c001933933911fb4ccaf212eaedcdc8,
1751119248762,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,860.6739,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644498528,0x3063052be046af5f709f04266a4460014500cb1cc4abe4d9d43bdb860b4b9ae1,
1751112047768,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,742.9639,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644408077,0x0eaef0b7cbd3ad852cc3042668e30d011000657db66b522e588ca862a47c9e32,
1751108447812,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,2315.19101218,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,644362641,0x0788a7a1110cfb30f14a0426683191011f003ab46c903d5493ef474a26bd2db6,
1751076047874,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,4155.14985,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,643959384,0xb0ed9f4e139dc39067cd0426620a5802036b0056b472edbb63c9c0a20c70e505,
1751072448843,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,10052.84972639,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,643913576,0x27cc820850122a99ad80042661576801f100496da0fe063bfd1db0c17bc0ff96,
1751000477590,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,50000,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,642986870,0x29fe84de8a6dda2ed45604265333760201c000239d59aaf6e224318194502333,
1750978520780,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,100000,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642703226,0xd0e1ae84f460a0c609de04264edf7a01c7001abe3f3c7b9ee43ca9ca90a734d4,
1750971648737,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,6611.21749286,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642615004,0x7a789e19093042ba282d04264d86dc0201c7002aba54db2cd07effe945d6a5af,
1750964448923,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,2174.33278974,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642521659,0x014156944c5b613c77dd04264c1a3b01b200036edb5c3b55c34b00680a2be688,
1750950047900,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,10124.23911372,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642334207,0x3334167283cbb074821d0426493dff0202610036bc6345d8e151e91b74143cc1,
1750935649844,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,3364.18783104,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642148334,0xafd56c30189a0147edd104264667ee0169004a1b533ada9ae98059b81c3e541b,
1750928449776,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5464.21214486,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642054597,0x4398219afbc27e30e768042644f9c5014100164566e1d49e025a441f441df334,
1750924849787,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5625.13732812,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,642008111,0xc22710d67c37503dcec1042644442f02020b0088857b1722341c1b4b08380df9,
1750914048708,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,4083.29403571,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641869554,0xce1d3bfbb9242b35e42704264226f20201c800abf30f1d1b69341c76ea3f9e0f,
1750910447713,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,821.58588062,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641822062,0x2033c824a1a3ef2e54330426416d6e0201f400f267f6bc247d5297b50409e57f,
1750895480691,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,30000,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641629042,0x533a07ff903716690bc704263e7b7201a2008edaaf384d6f5de05f9ee9074787,
1750892448779,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,3737.3310875,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641590108,0x63f4993a9fe08af548b704263de35c015f00017ea7920caf684d3fa9fa77b807,
1750885248853,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,7580.3788598,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641496626,0xe9eada52355896e2b53404263c7632020678006ec19b6129859d619db0b13436,
1750881647912,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,7001.28383267,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641449660,0xc2f9840447b5babb635f04263bbebc01b600281e577c1433afb15f07069464c0,
1750878047651,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5130.64957306,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641403220,0x50b6e36ed065ffff786f04263b0954020293007f05f32825f301c8bb06783939,
1750870847772,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,4206.17789596,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641310464,0x9cd2485b66161d16afbc0426399f00016200bfbf0c61adafcdb6b30578faeb82,
1750856449782,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,7626.67709657,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641126162,0xbb8f1e557318f2ed75f3042636cf1202011e00c7ededbef03fa97509132fd24b,
1750852849837,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5829.17687705,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,641079681,0x66e981df811234aaa8ec04263619810201a1001df97a1aa54e65ee3ffcb6ece3,
1750834849541,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,1366.26718451,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,640847067,0xf56678f28e769279fd0b0426328cdb017900ed2e47fd0e63416e24bfd158db6f,
1750820446517,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,374.89056514,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,640661267,0x7e0f4be02d1da58e342d04262fb71302016f003439aa79ca693a7c9cfda103b8,
1750816850861,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5650.20021448,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,640614809,0x67fa957e64587a8f2ee804262f019902012f00a8f3fec11b0c9c98d7d2b2b7f4,
1750813249550,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,165418.85280063,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,640568657,0xa6dab3aef3fa98aa50fc04262e4d510202fb006cef6d9366ec9c30088be2ae50,
1750732159781,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,200000,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,639522831,0x4b88366d70e0a1c1a5d304261e580f01f400f29959a7e64843d2301e66670224,
1750700058848,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,300000,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,639113084,0x24f41382c7175c1db3c3042618177c0204990004abb4c7ca29548bf126dae883,
1750696370751,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,171200,0x156fdf14cdb80c9623b5eb06a164a799aa719119,0xa4b1,Mainnet,639067788,0xfc20f8f1808cfcc1d474042617668c02014400efd284c4e3da9e7bc11d84f8c7,
1750665649895,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,11124.16600166,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638674345,0x4b905853344ce9317abd04261165a9015f00df29e711293de1aedd283e602ce7,
1750662049750,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5955.56945,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638628216,0xf3e66209f8945702b187042610b17802013f008f994f8efd97ae9b121ed71d52,
1750658449677,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5977.47506542,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638581933,0xec97a8a02ef462faf66104260ffcad02011a00d4586ebb23682b673b1df75188,
1750654849677,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5150.2693,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638535510,0x19619d5312567ab66a4104260f475601c8000b863b381c02d84e65a5a172bdc8,
1750651250361,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,8504.40724915,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638488875,0xf83741121a1e5cfef4b104260e912b02017300ba703aa5bf6fba11f5dc5eadcb,
1750647649153,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5834.50431372,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638442455,0x518938eb1fa2097783aa04260ddbd701ea0045cb2c292b7e18cbee76f6a84880,
1750644049022,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,17685,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638396177,0xa48d7e356ec12dfb1c9c04260d2711014900158a8a147bb1fdf1ca97e8060ebd,
1750640448941,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,14445.92355,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638349896,0x3895633420782422df5204260c7248018c0030b49d32a4f63a8ed8f505a151e0,
1750633248866,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,11539.88127622,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638258928,0x3b8456b594320872cad304260b0ef0020263007ee19a025db545f30e25fae2f7,
1750629648711,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,10756.71468094,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638213944,0x3bf5a67a2d448d35e93604260a5f380203a9000767bfffa5a9c10ece673c6652,
1750626048888,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,5985.50056429,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638168059,0x8e7048bbabaeeb206a5a042609abfb020233004c8d74cddfc241f848a3fb764f,
1750622448581,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,16025.84407146,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638124200,0x986f3b6875bb2a5e9e5d04260900a8020277003b951e170f5afe0dbef4232f1a,
1750618848888,0x716bd8d3337972db99995dda5c4b34d954a61d95,spotSend,HYPE:0x0d01dc56dcaaca66ad901c959b4011ec,17750.05205718,0x716bd8d3337972db99995dda5c4b34d954a61d95,0xa4b1,Mainnet,638077933,0x680e6d59aed66b8136500426084bed014600ea39fe9eeb1eae6a1f1e5dcdbeb1,
