timestamp,source,total_amount
1752019200036,delegation,14612.71472096
1751932800008,delegation,14601.86134815
1751846400068,delegation,14560.96687334
1751760000004,delegation,14538.86280828
1751673600007,delegation,14577.22917165
1751587200046,delegation,14592.15315913
1751500800130,delegation,14570.34717029
1751414400041,delegation,14609.40943214
1751328000000,delegation,14609.66419838
1751241600062,delegation,14608.11119832
1751155200019,delegation,14493.75275913
1751068800061,delegation,14621.29971552
1750982400045,delegation,14613.39698576
1750896000101,delegation,14627.75247098
1750809600046,delegation,14623.87892111
1750723200086,delegation,14666.94661205
1750636800043,delegation,14659.29715528
1750550400016,delegation,14637.08040986
1750464000049,delegation,14649.80394628
1750377600010,delegation,14628.19712942
1750291200047,delegation,14658.28517718
1750204800088,delegation,14643.43409377
1750118400100,delegation,14600.50360644
1750032000076,delegation,14611.54561133
1749945600102,delegation,14573.55646116
1749859200047,delegation,14606.44549604
1749772800071,delegation,14664.15903977
1749686400029,delegation,14692.62654444
1749600000023,delegation,14657.92621981
1749513600020,delegation,14656.77797628
1749427200057,delegation,14276.56639113
1749340800068,delegation,14650.91953495
1749254400049,delegation,14647.58921053
1749168000006,delegation,14645.16591787
1749081600030,delegation,14642.48913392
1748995200069,delegation,14653.3840779
1748908800081,delegation,14659.41006978
1748822400086,delegation,14649.00824195
1748736000078,delegation,14655.60727227
1748649600016,delegation,14653.86313833
1748563200037,delegation,14639.65208235
1748476800026,delegation,14637.89596473
1748390400112,delegation,14642.90076182
1748304000087,delegation,14647.61953966
1748217600069,delegation,14511.50751924
1748131200079,delegation,14624.89274641
1748044800003,delegation,14625.89201573
1747958400026,delegation,14589.7298266
1747872000023,delegation,14572.3026412
1747785600065,delegation,14561.92584968
1747699200103,delegation,14557.71793598
1747612800008,delegation,14551.21894816
1747526400066,delegation,14561.89526491
1747440000044,delegation,14565.53175957
1747353600075,delegation,14561.74681956
1747267200021,delegation,14530.51637844
1747180800025,delegation,14565.50062654
1747094400088,delegation,14570.46734774
1747008000038,delegation,14550.98209336
1746921600015,delegation,14565.91867249
1746835200076,delegation,14539.78462101
1746748800076,delegation,14578.8460963
1746662400045,delegation,14605.18252074
1746576000066,delegation,13930.42265089
1746489600024,delegation,14585.16189927
1746403200011,delegation,14595.91414688
1746316800111,delegation,14584.89285352
1746230400096,delegation,14598.9766264
1746144000001,delegation,14631.66669123
1746057600104,delegation,14630.85698719
1745971200064,delegation,14628.11933787
1745884800114,delegation,14644.94916017
1745798400039,delegation,14785.57891388
1745712000033,delegation,14633.66901254
1745625600070,delegation,14637.84361184
1745539200067,delegation,14631.70854944
1745452800049,delegation,14619.80621468
1745366400005,delegation,14603.31102033
1745280000047,delegation,14587.6955876
1745193600007,delegation,14576.06381365
1745107200017,delegation,14585.08276598
1745020800019,delegation,14568.3484595
1744934400099,delegation,14567.00292047
1744848000078,delegation,14550.65254174
1744761600008,delegation,14551.97515924
1744675200048,delegation,14552.23713523
1744588800023,delegation,14566.19544236
1744502400037,delegation,14546.74217768
1744416000042,delegation,14537.65342876
1744329600102,delegation,14524.04369378
1744243200001,delegation,14520.80926508
1744156800087,delegation,14517.19154469
1744070400066,delegation,14509.73871053
1743984000007,delegation,14525.69257105
1743897600051,delegation,14536.72495599
1743811200101,delegation,14535.67168
1743724800034,delegation,14526.80214471
1743638400071,delegation,14522.19683271
1743552000043,delegation,14525.54006566
1743465600014,delegation,14519.00490428
1743379200059,delegation,14507.98260078
1743292800022,delegation,14523.71981326
1743206400086,delegation,14505.92362325
1743120000014,delegation,14492.17286224
1743033600005,delegation,14498.92473815
1742947200001,delegation,14475.93307704
1742860800026,delegation,14482.76555698
1742774400090,delegation,14480.31042688
1742688000020,delegation,14500.76223569
1742601600038,delegation,14461.85204336
1742515200035,delegation,14467.9578649
1742428800049,delegation,14478.02555398
1742342400023,delegation,14487.95173688
1742256000030,delegation,14498.70645767
1742169600141,delegation,14501.78635231
1742083200031,delegation,14498.52823751
1741996800046,delegation,14501.88163549
1741910400047,delegation,14507.53532917
1741824000013,delegation,14485.87001207
1741737600020,delegation,14468.98472272
1741651200077,delegation,14504.54689339
1741564800002,delegation,14494.68607705
1741478400011,delegation,14469.85985597
1741392000069,delegation,14531.35701688
1741305600126,delegation,14537.36486619
1741219200014,delegation,14545.72687619
1741132800036,delegation,14540.7624766
1741046400060,delegation,14513.02139439
1740960000048,delegation,14501.38525279
1740873600094,delegation,14493.20534034
1740787200033,delegation,14491.87008624
1740700800071,delegation,14484.88902415
1740614400080,delegation,14472.63497639
1740528000018,delegation,14461.31566379
1740441600011,delegation,14440.45699384
1740355200123,delegation,14412.40041456
1740268800060,delegation,14410.17613487
1740182400015,delegation,14393.63847117
1740096000115,delegation,14377.49529983
1740009600055,delegation,14370.9982015
1739923200076,delegation,14359.85769632
1739836800098,delegation,14345.38145869
1739750400038,delegation,14342.51649275
1739664000082,delegation,14343.89523732
1739577600062,delegation,14359.17040905
1739491200060,delegation,14353.89173885
1739404800081,delegation,14362.41806701
1739318400058,delegation,14372.33321544
1739232000034,delegation,14386.24208909
1739145600080,delegation,14381.78218319
1739059200027,delegation,14403.3757505
1738972800061,delegation,14350.53338371
1738886400068,delegation,14326.77255995
1738800000090,delegation,14369.14733869
1738713600003,delegation,14370.7545473
1738627200170,delegation,14380.75142332
1738540800021,delegation,14372.20176065
1738454400188,delegation,14361.87133603
1738368000026,delegation,14369.46421705
1738281600035,delegation,14368.18388866
1738195200017,delegation,14361.34235395
1738108800065,delegation,14370.69406799
1738022400068,delegation,14368.79079562
1737936000096,delegation,14356.37933921
1737849600049,delegation,14355.46283118
1737763200067,delegation,14367.64228075
1737676800067,delegation,14352.96891981
1737590400080,delegation,14338.483373
1737504000037,delegation,14347.98827096
1737417600010,delegation,14353.54693833
1737331200006,delegation,14362.53484773
1737244800142,delegation,14342.98413017
1737158400007,delegation,14321.716382
1737072000048,delegation,14330.4437084
1736985600186,delegation,14373.27585254
1736899200012,delegation,14397.98883018
1736812800075,delegation,14468.50357745
1736726400073,delegation,14577.17074395
1736640000194,delegation,14604.78855849
1736553600118,delegation,14620.82704716
1736467200033,delegation,14640.59098138
1736380800021,delegation,14639.19091857
1736294400045,delegation,14670.88593047
1736208000104,delegation,14699.50931138
1736121600051,delegation,14739.65706533
1736035200051,delegation,14789.35320764
1735948800067,delegation,14932.19359479
1735862400016,delegation,15000.43749204
1735776000035,delegation,15180.28481928
1735689600054,delegation,15472.13288736
1735603200090,delegation,16029.88582686
1735516800793,delegation,17042.45612026
1735430400072,delegation,9339.38450835
